ID;Name;Gold
3123;Executioner's Calling;800
3124;Guinsoo's Rageblade;3000
3133;Caulfield's Warhammer;1050
3134;Serrated Dirk;1000
3135;Void Staff;3000
3137;Cryptbloom;3000
3139;Mercurial Scimitar;3200
3140;Quicksilver Sash;1300
3142;Youmuu's Ghostblade;2800
3143;Randuin's Omen;2700
3144;Scout's Slingshot;600
3145;Hextech Alternator;1100
3146;Hextech Gunblade;3000
3147;Haunting Guise;1300
3152;Hextech Rocketbelt;2650
3153;Blade of The Ruined King;3200
3155;Hexdrinker;1300
3156;Maw of Malmortius;3100
3157;Zhonya's Hourglass;3250
3158;Ionian Boots of Lucidity;900
3161;Spear of Shojin;3100
3165;Morellonomicon;2850
3168;Immortal Path;1000
3170;Swiftmarch;1000
3171;Crimson Lucidity;900
3172;Gunmetal Greaves;1100
3173;Chainlaced Crushers;1250
3174;Armored Advance;1200
3175;Spellslinger's Shoes;1100
3176;Forever Forward;900
3177;Guardian's Blade;950
3179;Umbral Glaive;2800
3181;Hullbreaker;3000
3184;Guardian's Hammer;950
3190;Locket of the Iron Solari;2200
3211;Spectre's Cowl;1250
322065;Shurelya's Battlesong;2600
3222;Mikael's Blessing;2300
322526;Whispering Circlet;2250
322530;Diadem of Songs;2250
323002;Trailblazer;2600
323003;Archangel's Staff;2900
323004;Manamune;2900
323040;Seraph's Embrace;2900
323042;Muramana;2900
323050;Zeke's Convergence;2300
323070;Tear of the Goddess;400
323075;Thornmail;2650
323107;Redemption;2800
323109;Knight's Vow;2900
323110;Frozen Heart;2700
323119;Winter's Approach;2400
323121;Fimbulwinter;2400
323190;Locket of the Iron Solari;2600
323222;Mikael's Blessing;2800
323504;Ardent Censer;2600
324005;Imperial Mandate;2400
326616;Staff of Flowing Water;2600
326617;Moonstone Renewer;2900
326620;Echoes of Helia;2600
326621;Dawncore;2900
326657;Rod of Ages;2600
328020;Abyssal Mask;2850
3302;Terminus;3000
3330;Scarecrow Effigy;0
3340;Stealth Ward;0
3363;Farsight Alteration;0
3364;Oracle Lens;0
3400;Your Cut;0
3504;Ardent Censer;2200
3508;Essence Reaver;3050
3599;Kalista's Black Spear;0
3600;Kalista's Black Spear;0
3742;Dead Man's Plate;2900
3748;Titanic Hydra;3300
3801;Crystalline Bracer;800
3802;Lost Chapter;1200
3803;Catalyst of Aeons;1300
3814;Edge of Night;3000
3865;World Atlas;400
3866;Runic Compass;400
3867;Bounty of Worlds;400
3869;Celestial Opposition;400
3870;Dream Maker;400
3871;Zaz'Zak's Realmspike;400
3876;Solstice Sleigh;400
3877;Bloodsong;400
3901;<rarityLegendary>Fire at Will</rarityLegendary><br><subtitleLeft><silver>500 Silver Serpents</silver></subtitleLeft>;0
3902;<rarityLegendary>Death's Daughter</rarityLegendary><br><subtitleLeft><silver>500 Silver Serpents</silver></subtitleLeft>;0
3903;<rarityLegendary>Raise Morale</rarityLegendary><br><subtitleLeft><silver>500 Silver Serpents</silver></subtitleLeft>;0
3916;Oblivion Orb;800
4005;Imperial Mandate;2400
4401;Force of Nature;2800
4628;Horizon Focus;2700
4629;Cosmic Drive;3000
4630;Blighting Jewel;1100
4632;Verdant Barrier;1600
4633;Riftmaker;3100
4635;Leeching Leer;1265
4636;Night Harvester;2765
4637;Demonic Embrace;3000
4641;Stirring Wardstone;350
4642;Bandleglass Mirror;900
4645;Shadowflame;3200
4646;Stormsurge;2800
6333;Death's Dance;3300
6609;Chempunk Chainsword;3000
6610;Sundered Sky;3100
6616;Staff of Flowing Water;2250
6617;Moonstone Renewer;2200
6620;Echoes of Helia;2200
6621;Dawncore;2500
663039;Atma's Reckoning;2500
663056;Demon King's Crown;2500
663058;Shield of Molten Stone;2500
663059;Cloak of Starry Night;2500
663060;Sword of the Divine;2500
663064;Veigar's Talisman of Ascension;900
6631;Stridebreaker;3300
663146;Hextech Gunblade;2500
663172;Zephyr;2500
663193;Gargoyle Stoneplate;2500
664011;Sword of Blossoming Dawn;2500
664403;The Golden Spatula;2500
664644;Crown of the Shattered Queen;2500
6653;Liandry's Torment;3000
6655;Luden's Echo;2750
6657;Rod of Ages;2600
6660;Bami's Cinder;900
6662;Iceborn Gauntlet;2900
6664;Hollow Radiance;2800
6665;Jak'Sho, The Protean;3200
6670;Noonquiver;1300
667101;Gambler's Blade;2500
667109;Cruelty;2500
667112;Flesheater;2500
6672;Kraken Slayer;3000
6673;Immortal Shieldbow;3000
6675;Navori Flickerblade;2650
6676;The Collector;3000
667666;The Collector;3000
6690;Rectrix;775
6692;Eclipse;2900
6693;Prowler's Claw;2850
6694;Serylda's Grudge;3000
6695;Serpent's Fang;2500
6696;Axiom Arc;2750
6697;Hubris;2800
6698;Profane Hydra;2850
6699;Voltaic Cyclosword;3000
6701;Opportunity;2700
7050;Gangplank Placeholder;0
8001;Anathema's Chains;2500
8010;Bloodletter's Curse;2900
8020;Abyssal Mask;2650
