GameDuration,BlueTeamWin,BlueTeamTowersTaken,BlueTeamInhibitorsTaken,BlueTeamDragonsTaken,BlueTeamGrubsTaken,BlueTeamRiftheraldTaken,BlueTeamBaronTaken,BluePlayer1Role,BluePlayer1ChampionId,BluePlayer1GoldSpent,BluePlayer1Level,BluePlayer1Kills,BluePlayer1Deaths,BluePlayer1Assists,BluePlayer1CreepScore,BluePlayer1WardScore,BluePlayer2Role,BluePlayer2ChampionId,BluePlayer2GoldSpent,BluePlayer2Level,BluePlayer2Kills,BluePlayer2Deaths,BluePlayer2Assists,BluePlayer2CreepScore,BluePlayer2WardScore,BluePlayer3Role,BluePlayer3ChampionId,BluePlayer3GoldSpent,BluePlayer3Level,BluePlayer3Kills,BluePlayer3Deaths,BluePlayer3Assists,BluePlayer3CreepScore,BluePlayer3WardScore,BluePlayer4Role,BluePlayer4ChampionId,BluePlayer4GoldSpent,BluePlayer4Level,BluePlayer4Kills,BluePlayer4Deaths,BluePlayer4Assists,BluePlayer4CreepScore,BluePlayer4WardScore,BluePlayer5Role,BluePlayer5ChampionId,BluePlayer5GoldSpent,BluePlayer5Level,BluePlayer5Kills,BluePlayer5Deaths,BluePlayer5Assists,BluePlayer5CreepScore,BluePlayer5WardScore,RedTeamTowersTaken,RedTeamInhibitorsTaken,RedTeamDragonsTaken,RedTeamGrubsTaken,RedTeamRiftheraldTaken,RedTeamBaronTaken,RedPlayer1Role,RedPlayer1ChampionId,RedPlayer1GoldSpent,RedPlayer1Level,RedPlayer1Kills,RedPlayer1Deaths,RedPlayer1Assists,RedPlayer1CreepScore,RedPlayer1WardScore,RedPlayer2Role,RedPlayer2ChampionId,RedPlayer2GoldSpent,RedPlayer2Level,RedPlayer2Kills,RedPlayer2Deaths,RedPlayer2Assists,RedPlayer2CreepScore,RedPlayer2WardScore,RedPlayer3Role,RedPlayer3ChampionId,RedPlayer3GoldSpent,RedPlayer3Level,RedPlayer3Kills,RedPlayer3Deaths,RedPlayer3Assists,RedPlayer3CreepScore,RedPlayer3WardScore,RedPlayer4Role,RedPlayer4ChampionId,RedPlayer4GoldSpent,RedPlayer4Level,RedPlayer4Kills,RedPlayer4Deaths,RedPlayer4Assists,RedPlayer4CreepScore,RedPlayer4WardScore,RedPlayer5Role,RedPlayer5ChampionId,RedPlayer5GoldSpent,RedPlayer5Level,RedPlayer5Kills,RedPlayer5Deaths,RedPlayer5Assists,RedPlayer5CreepScore,RedPlayer5WardScore
1622,1,9,1,2,0,0,1,TOP,223,10550,17,6,2,5,196,21,JUNGLE,35,12900,16,11,4,8,185,30,MIDDLE,105,12850,16,10,3,3,205,28,BOTTOM,51,11450,15,8,7,8,214,11,SUPPORT,147,7710,13,3,3,15,51,55,3,0,2,3,0,0,TOP,67,8050,14,0,8,1,186,22,JUNGLE,104,15150,15,13,5,2,168,33,MIDDLE,39,9650,14,3,8,2,215,18,BOTTOM,81,9908,13,3,9,6,170,10,SUPPORT,235,6630,11,0,8,11,23,56
2046,0,4,0,0,2,1,0,TOP,106,11800,18,5,6,6,200,24,JUNGLE,24,12083,15,6,10,2,129,41,MIDDLE,157,11900,17,3,9,4,223,15,BOTTOM,21,13555,14,5,10,5,156,25,SUPPORT,63,11525,15,8,12,7,77,60,9,2,4,1,0,1,TOP,83,13350,20,12,6,10,203,27,JUNGLE,950,16900,18,12,5,14,202,32,MIDDLE,1,12550,18,7,6,12,227,19,BOTTOM,145,12875,16,5,6,14,162,20,SUPPORT,99,11700,16,10,5,15,87,51
1596,1,10,2,3,3,0,1,TOP,23,14100,17,10,8,9,222,21,JUNGLE,234,10875,14,14,7,6,117,34,MIDDLE,101,8750,15,5,3,12,171,21,BOTTOM,145,10600,14,4,6,12,159,19,SUPPORT,412,6515,13,0,5,19,49,93,3,0,0,0,1,0,TOP,80,6675,14,3,9,8,106,19,JUNGLE,154,10725,15,8,6,9,144,19,MIDDLE,8,10750,15,6,5,10,187,15,BOTTOM,51,11600,13,7,8,10,200,9,SUPPORT,147,9310,12,5,6,15,40,74
1381,1,9,1,2,1,1,0,TOP,86,10550,16,9,1,1,206,21,JUNGLE,91,9250,15,7,2,5,170,28,MIDDLE,63,6125,12,0,9,1,152,22,BOTTOM,22,8825,13,4,3,8,157,24,SUPPORT,147,6210,11,2,4,10,34,31,0,0,1,2,0,0,TOP,777,5800,13,0,7,2,134,11,JUNGLE,234,10375,13,7,4,1,144,31,MIDDLE,105,8125,14,9,3,1,148,11,BOTTOM,901,7025,11,2,4,4,131,6,SUPPORT,25,5890,10,1,4,7,50,54
1286,0,1,0,0,0,0,0,TOP,48,7300,13,3,6,0,141,18,JUNGLE,17,7000,11,3,4,1,102,28,MIDDLE,5,7075,13,4,4,1,135,11,BOTTOM,51,3200,8,0,4,0,98,6,SUPPORT,43,5200,11,0,3,1,60,25,5,0,3,3,1,0,TOP,58,7650,15,5,3,3,166,14,JUNGLE,19,9000,13,7,1,7,113,23,MIDDLE,112,6975,13,0,4,6,161,11,BOTTOM,45,6150,12,4,2,3,122,13,SUPPORT,235,6850,11,5,0,5,27,34
2189,0,3,0,2,1,0,0,TOP,67,13383,19,3,9,8,254,17,JUNGLE,36,12225,18,2,9,6,197,43,MIDDLE,55,14090,17,13,15,4,177,25,BOTTOM,96,17550,18,15,10,6,284,16,SUPPORT,526,12385,16,4,10,18,37,72,10,3,3,2,1,2,TOP,110,15445,20,10,7,8,277,22,JUNGLE,32,13800,18,4,5,23,172,31,MIDDLE,99,15375,18,15,6,20,192,59,BOTTOM,145,16050,17,13,12,9,244,25,SUPPORT,147,13400,16,11,7,20,63,45
1643,0,3,0,2,3,0,0,TOP,517,10175,15,6,12,1,167,21,JUNGLE,11,10750,15,7,5,2,175,31,MIDDLE,8,11925,16,9,6,0,227,11,BOTTOM,901,10500,15,4,9,8,173,10,SUPPORT,910,8980,12,3,16,13,32,30,9,1,2,0,1,1,TOP,13,10625,18,6,6,11,193,20,JUNGLE,33,13540,15,8,6,8,129,29,MIDDLE,126,10300,17,7,4,10,184,17,BOTTOM,222,16835,15,26,6,5,218,24,SUPPORT,111,8320,13,1,7,26,19,79
2590,1,11,3,5,1,0,1,TOP,106,13400,19,5,15,17,150,32,JUNGLE,427,15500,18,3,0,33,164,28,MIDDLE,157,15850,18,11,11,13,240,33,BOTTOM,51,21000,18,32,7,6,314,22,SUPPORT,267,12265,18,2,4,31,94,126,8,0,1,2,0,1,TOP,420,18225,20,14,11,15,266,45,JUNGLE,11,15737,18,7,14,9,198,16,MIDDLE,893,12275,17,7,12,13,168,36,BOTTOM,18,18050,18,9,8,6,253,24,SUPPORT,16,9600,16,0,8,17,38,16
1846,0,5,0,3,1,0,1,TOP,67,14150,17,15,13,5,164,23,JUNGLE,98,11050,16,4,6,15,129,18,MIDDLE,246,12125,15,9,11,4,209,15,BOTTOM,81,10613,16,8,13,8,175,22,SUPPORT,800,13640,15,16,9,11,86,32,11,4,1,2,1,0,TOP,114,14300,18,12,6,5,194,21,JUNGLE,76,12200,17,11,8,9,191,34,MIDDLE,92,23190,18,22,9,8,237,17,BOTTOM,51,8700,14,2,12,5,151,18,SUPPORT,555,9520,14,4,17,9,17,98
1752,1,7,1,2,0,1,1,TOP,19,11860,18,11,7,4,174,19,JUNGLE,5,13250,17,7,7,10,158,37,MIDDLE,91,10380,14,5,12,10,141,8,BOTTOM,222,12225,15,5,4,5,213,22,SUPPORT,497,7400,14,1,8,16,46,57,6,0,2,3,0,0,TOP,98,10100,16,5,7,9,168,22,JUNGLE,234,12550,15,14,6,7,148,28,MIDDLE,245,12250,16,8,6,7,181,27,BOTTOM,29,13150,14,9,6,17,163,25,SUPPORT,412,8915,14,2,4,25,35,66
2197,1,11,3,5,3,0,0,TOP,24,15425,20,8,7,8,306,34,JUNGLE,59,14225,18,7,3,18,217,31,MIDDLE,245,14325,18,12,4,3,236,31,BOTTOM,901,18350,18,11,10,9,319,36,SUPPORT,27,9825,16,2,8,15,59,108,2,0,0,0,1,1,TOP,86,14350,20,7,9,1,278,27,JUNGLE,57,11000,17,1,7,10,137,32,MIDDLE,268,13000,17,4,8,2,277,36,BOTTOM,236,20575,18,15,4,7,339,22,SUPPORT,164,9827,15,5,12,16,42,75
2556,1,11,3,2,0,1,2,TOP,893,20700,20,19,4,11,319,23,JUNGLE,141,16175,18,9,10,15,186,39,MIDDLE,85,18500,18,13,7,16,315,43,BOTTOM,523,21350,18,18,9,13,320,30,SUPPORT,267,10745,17,0,14,30,34,123,7,1,4,3,0,0,TOP,39,18250,20,8,13,13,352,29,JUNGLE,245,19500,18,18,6,9,297,46,MIDDLE,131,18125,18,13,18,11,266,32,BOTTOM,235,17200,18,4,7,27,237,38,SUPPORT,25,11205,16,1,15,22,75,123
1772,0,1,0,1,0,1,0,TOP,777,12420,17,8,8,2,197,27,JUNGLE,59,9975,15,2,13,14,142,19,MIDDLE,101,13450,16,9,8,8,195,17,BOTTOM,145,12300,15,5,9,5,202,20,SUPPORT,99,9465,13,5,12,8,61,62,9,1,3,3,0,0,TOP,122,11300,16,7,5,5,152,26,JUNGLE,107,13700,17,12,7,3,201,26,MIDDLE,45,14800,18,13,6,4,232,25,BOTTOM,22,11675,14,6,6,14,145,33,SUPPORT,126,13465,16,12,5,13,146,69
1721,1,9,1,2,3,1,1,TOP,875,11200,18,10,5,5,174,18,JUNGLE,82,11200,15,9,5,8,131,33,MIDDLE,45,12250,16,6,7,4,213,9,BOTTOM,110,11950,14,4,9,15,182,17,SUPPORT,59,10067,15,13,4,14,66,63,3,0,3,0,0,0,TOP,799,10100,16,4,8,7,175,33,JUNGLE,64,10900,15,10,6,9,145,35,MIDDLE,777,12910,16,9,8,6,216,23,BOTTOM,29,11775,14,5,11,9,199,20,SUPPORT,117,7580,14,2,9,14,33,53
1299,0,1,0,0,0,1,0,TOP,516,9600,14,4,5,4,175,14,JUNGLE,421,7450,12,3,8,2,92,7,MIDDLE,84,7850,12,3,7,1,138,14,BOTTOM,222,6900,12,1,3,0,166,8,SUPPORT,40,4815,10,0,6,2,21,38,9,2,3,3,0,1,TOP,150,9158,16,7,3,3,180,12,JUNGLE,133,7900,15,3,2,9,147,27,MIDDLE,103,7600,14,5,4,4,141,15,BOTTOM,221,13500,14,11,1,5,220,12,SUPPORT,147,6580,12,3,1,11,28,43
2254,0,5,0,2,3,1,0,TOP,41,17550,20,9,11,11,258,38,JUNGLE,131,15250,18,8,9,5,216,20,MIDDLE,246,17250,18,10,14,5,244,34,BOTTOM,22,15000,17,8,15,5,250,15,SUPPORT,526,9030,14,0,8,9,49,114,9,2,3,0,0,2,TOP,122,14525,20,15,12,6,204,54,JUNGLE,427,14675,18,2,3,24,174,43,MIDDLE,103,16645,18,18,7,11,235,68,BOTTOM,29,18600,18,17,7,8,293,13,SUPPORT,78,11470,16,5,6,21,61,49
2354,1,11,4,4,2,0,1,TOP,86,18800,20,17,7,9,385,44,JUNGLE,59,16800,18,8,13,17,210,44,MIDDLE,90,13375,18,4,16,14,255,41,BOTTOM,110,14500,18,9,14,10,244,36,SUPPORT,235,11230,18,3,4,19,102,84,5,0,2,1,0,2,TOP,420,14150,20,6,7,9,306,24,JUNGLE,233,15300,18,11,13,13,172,30,MIDDLE,84,12925,18,7,7,12,182,46,BOTTOM,18,24625,18,26,4,4,313,37,SUPPORT,223,11205,16,4,10,17,37,102
2262,1,9,2,1,3,0,2,TOP,14,14125,20,3,17,13,238,37,JUNGLE,141,17200,18,10,5,18,213,35,MIDDLE,245,13000,18,6,5,13,239,50,BOTTOM,222,18950,18,16,7,9,316,23,SUPPORT,12,10435,17,1,9,26,35,118,11,1,5,0,1,1,TOP,122,17125,20,14,8,9,304,46,JUNGLE,234,15800,18,6,8,8,215,16,MIDDLE,34,12950,17,4,7,9,245,45,BOTTOM,51,20550,17,15,7,12,279,20,SUPPORT,78,10145,15,4,6,15,36,108
2126,1,11,2,2,3,1,1,TOP,5,14400,19,2,12,9,268,22,JUNGLE,163,18375,18,14,8,9,256,34,MIDDLE,92,16925,18,14,11,7,210,23,BOTTOM,235,15100,18,4,8,20,234,23,SUPPORT,78,9610,16,3,5,16,52,115,6,0,3,0,0,1,TOP,875,15400,20,7,8,14,252,37,JUNGLE,233,21100,18,16,12,6,197,27,MIDDLE,110,15650,17,10,10,7,253,37,BOTTOM,145,18400,16,9,4,8,255,14,SUPPORT,267,9375,16,2,3,22,34,101
1937,1,10,2,3,3,0,1,TOP,10,8850,18,5,3,5,223,37,JUNGLE,56,15250,18,11,4,11,157,26,MIDDLE,34,16400,18,13,4,10,272,43,BOTTOM,119,15300,18,10,7,7,267,33,SUPPORT,16,7190,14,1,5,13,20,70,3,0,2,0,1,0,TOP,41,14550,19,4,8,7,264,19,JUNGLE,154,11575,16,5,10,4,184,32,MIDDLE,136,10075,16,5,10,5,166,22,BOTTOM,360,15400,16,6,9,4,252,29,SUPPORT,26,9450,16,2,3,4,136,36
2673,1,15,8,3,2,1,2,TOP,98,17075,20,12,10,12,209,37,JUNGLE,82,16400,18,17,11,19,198,26,MIDDLE,711,15400,18,12,16,12,201,30,BOTTOM,222,23900,18,8,11,23,317,27,SUPPORT,555,14700,17,14,8,11,73,139,6,0,4,1,0,1,TOP,17,20690,20,6,10,17,380,47,JUNGLE,62,18783,18,7,13,15,225,26,MIDDLE,7,23375,18,27,12,10,311,43,BOTTOM,236,20700,18,15,14,12,328,30,SUPPORT,888,11580,18,1,14,29,65,120
2315,1,9,1,4,0,0,1,TOP,887,12800,19,7,8,9,203,29,JUNGLE,9,14050,18,5,8,20,220,66,MIDDLE,80,14625,18,18,9,10,210,43,BOTTOM,555,18737,18,17,3,8,266,29,SUPPORT,111,13550,17,5,13,34,54,87,7,0,1,3,1,1,TOP,14,21550,20,13,6,10,265,11,JUNGLE,56,13275,17,10,14,8,137,43,MIDDLE,63,13350,18,9,10,15,167,29,BOTTOM,99,14800,16,8,14,14,181,19,SUPPORT,350,10040,16,1,9,26,22,85
1778,0,3,0,1,0,1,0,TOP,420,11650,18,4,5,6,241,16,JUNGLE,72,11100,15,7,7,8,135,24,MIDDLE,90,12550,16,5,7,4,248,18,BOTTOM,145,10400,13,8,9,4,167,12,SUPPORT,432,7245,12,1,10,9,26,75,7,1,3,3,0,0,TOP,74,11650,18,8,6,10,228,21,JUNGLE,35,13650,17,13,2,7,178,11,MIDDLE,893,11110,17,7,5,7,251,23,BOTTOM,235,14400,14,9,6,10,214,13,SUPPORT,223,8430,14,1,6,22,32,72
1055,0,0,0,0,0,0,0,TOP,48,6175,10,2,11,3,94,10,JUNGLE,98,5450,10,1,4,3,81,8,MIDDLE,91,4750,9,1,6,2,99,10,BOTTOM,22,6300,11,4,5,1,123,9,SUPPORT,17,4450,9,3,8,1,54,31,7,1,2,3,1,0,TOP,897,8350,13,7,2,8,114,13,JUNGLE,56,8937,12,8,3,8,104,16,MIDDLE,238,8625,12,12,1,4,127,7,BOTTOM,63,6150,12,4,4,6,131,8,SUPPORT,432,5020,10,2,1,17,15,28
1635,0,1,0,2,0,0,0,TOP,897,8975,15,1,5,3,201,28,JUNGLE,104,11750,15,8,5,2,184,24,MIDDLE,69,8800,13,5,8,4,144,32,BOTTOM,145,12725,14,7,5,7,215,21,SUPPORT,60,8790,11,5,5,9,43,80,8,1,2,3,1,1,TOP,164,10733,17,5,2,4,229,29,JUNGLE,64,10750,15,6,7,10,144,20,MIDDLE,131,11300,15,6,5,8,212,23,BOTTOM,119,13750,15,11,7,2,241,32,SUPPORT,45,7340,13,0,5,14,42,72
1989,0,3,0,2,2,1,1,TOP,516,11050,17,4,11,8,158,17,JUNGLE,32,13375,17,6,8,12,175,14,MIDDLE,157,11100,16,4,9,6,226,20,BOTTOM,15,19090,16,12,5,6,287,30,SUPPORT,117,9025,15,2,6,18,49,97,9,1,3,1,0,0,TOP,86,15300,19,11,8,7,259,18,JUNGLE,82,13850,17,10,7,16,166,28,MIDDLE,8,14550,18,10,3,9,270,24,BOTTOM,804,14425,16,5,4,13,315,56,SUPPORT,267,9415,15,3,6,17,53,104
1758,1,10,2,4,0,1,1,TOP,17,12550,18,6,4,6,242,33,JUNGLE,131,12925,18,6,4,11,213,23,MIDDLE,1,11400,15,7,7,4,198,25,BOTTOM,22,14960,16,14,7,9,200,10,SUPPORT,50,8530,15,5,3,21,63,89,2,0,0,3,0,0,TOP,8,9550,16,3,6,3,203,17,JUNGLE,56,15050,17,13,5,4,193,25,MIDDLE,4,11200,16,4,7,7,215,12,BOTTOM,29,9300,13,3,11,3,169,18,SUPPORT,412,8170,13,2,9,11,37,66
1715,0,3,0,1,0,0,0,TOP,114,13508,17,6,7,4,193,26,JUNGLE,78,8850,14,2,6,5,122,15,MIDDLE,50,9800,16,5,6,4,197,20,BOTTOM,4,9825,13,0,8,1,190,12,SUPPORT,25,7660,13,1,8,4,61,62,10,2,3,3,1,0,TOP,17,12650,18,6,5,7,245,20,JUNGLE,59,11275,17,5,3,6,209,18,MIDDLE,711,8725,15,6,3,3,183,28,BOTTOM,498,17350,16,15,2,6,290,14,SUPPORT,412,7660,15,3,1,20,45,69
1113,0,0,0,0,3,0,0,TOP,6,6200,13,2,8,0,139,12,JUNGLE,427,5800,10,1,6,2,98,25,MIDDLE,99,5650,10,0,6,2,147,13,BOTTOM,202,6450,10,2,8,4,124,10,SUPPORT,555,6702,9,7,7,2,15,31,9,1,2,0,1,0,TOP,36,6200,13,3,2,2,142,10,JUNGLE,64,7775,14,10,2,6,120,14,MIDDLE,61,6325,12,4,2,5,157,11,BOTTOM,51,12550,12,13,4,13,136,14,SUPPORT,412,5840,11,5,2,21,16,36
1770,1,10,2,3,3,1,1,TOP,875,10275,17,4,7,5,178,26,JUNGLE,59,14125,17,12,2,17,178,26,MIDDLE,136,10000,15,8,7,8,178,27,BOTTOM,96,14300,16,16,7,9,209,10,SUPPORT,111,8630,14,0,7,24,42,87,3,0,1,0,0,0,TOP,799,10750,17,7,6,3,192,26,JUNGLE,245,13500,16,11,11,6,160,29,MIDDLE,910,9075,15,4,4,8,181,23,BOTTOM,81,11608,14,8,12,3,174,15,SUPPORT,37,5205,12,0,7,10,33,63
2416,1,10,2,4,3,1,1,TOP,516,14180,20,8,8,13,192,39,JUNGLE,106,16175,18,10,12,13,187,47,MIDDLE,74,14900,18,14,12,11,227,20,BOTTOM,22,20800,18,27,14,10,237,37,SUPPORT,78,11515,18,2,8,19,61,112,7,1,2,0,0,0,TOP,4,14500,20,6,10,13,223,36,JUNGLE,203,17200,18,13,9,9,201,37,MIDDLE,777,16000,18,12,15,9,213,27,BOTTOM,21,22400,18,20,16,10,280,34,SUPPORT,432,12700,17,3,11,27,45,93
2021,1,8,1,1,3,1,0,TOP,875,16560,20,12,6,6,257,34,JUNGLE,91,14800,18,10,2,2,217,32,MIDDLE,34,11150,18,3,6,5,257,28,BOTTOM,15,12475,16,1,1,6,283,40,SUPPORT,147,7785,14,1,6,9,49,93,6,0,4,0,0,1,TOP,420,13050,19,5,8,3,250,31,JUNGLE,28,11500,16,7,6,4,144,26,MIDDLE,268,13200,17,5,7,3,271,25,BOTTOM,51,13750,16,3,5,5,282,30,SUPPORT,43,9760,15,1,1,14,81,138
1914,1,10,2,4,0,0,0,TOP,10,17450,20,12,2,8,323,19,JUNGLE,233,12975,18,5,4,5,225,36,MIDDLE,105,11950,17,13,6,8,152,16,BOTTOM,800,14450,17,13,1,8,217,19,SUPPORT,555,8815,12,2,5,12,56,103,4,0,1,3,1,0,TOP,14,10750,17,1,8,2,242,31,JUNGLE,5,11950,15,4,10,3,141,41,MIDDLE,7,14150,16,10,10,2,182,25,BOTTOM,901,11775,16,2,13,6,210,18,SUPPORT,267,7195,14,1,4,7,37,80
